year	state	tot	tot_m	tot_m_under_5_yrs	tot_m_5_to_9_yrs	tot_m_10_to_14_yrs	tot_m_15_to_17_yrs	tot_m_18_and_19_yrs	tot_m_20_yrs	tot_m_21_yrs	tot_m_22_to_24_yrs	tot_m_25_to_29_yrs	tot_m_30_to_34_yrs	tot_m_35_to_39_yrs	tot_m_40_to_44_yrs	tot_m_45_to_49_yrs	tot_m_50_to_54_yrs	tot_m_55_to_59_yrs	tot_m_60_and_61_yrs	tot_m_62_to_64_yrs	tot_m_65_and_66_yrs	tot_m_67_to_69_yrs	tot_m_70_to_74_yrs	tot_m_75_to_79_yrs	tot_m_80_to_84_yrs	tot_m_85_yrs_and_over	tot_f	tot_f_under_5_yrs	tot_f_5_to_9_yrs	tot_f_10_to_14_yrs	tot_f_15_to_17_yrs	tot_f_18_and_19_yrs	tot_f_20_yrs	tot_f_21_yrs	tot_f_22_to_24_yrs	tot_f_25_to_29_yrs	tot_f_30_to_34_yrs	tot_f_35_to_39_yrs	tot_f_40_to_44_yrs	tot_f_45_to_49_yrs	tot_f_50_to_54_yrs	tot_f_55_to_59_yrs	tot_f_60_and_61_yrs	tot_f_62_to_64_yrs	tot_f_65_and_66_yrs	tot_f_67_to_69_yrs	tot_f_70_to_74_yrs	tot_f_75_to_79_yrs	tot_f_80_to_84_yrs	tot_f_85_yrs_and_over
2019	AL	4876250	2359355	149090	153494	158617	98257	64980	35870	35040	95065	165052	149779	145896	142753	150054	156317	159122	61482	88291	52535	71531	96020	62845	39335	27930	2516895	144097	147570	151839	93412	65837	35427	33548	93230	167570	155546	154545	153194	159501	166787	174087	69293	96727	59558	83413	113624	82251	59420	56419
2019	AK	737068	384915	27062	26776	25921	15200	9746	6154	6029	19262	33136	30027	26569	21886	22918	24477	25581	9826	13370	8044	10016	10959	5844	3606	2506	352153	26175	26034	23348	13878	7880	4003	4659	14355	29069	27092	24203	20726	21008	22294	24504	9531	11786	6658	9489	11121	5978	4381	3981
2019	AZ	7050299	3504509	221817	228224	241782	142358	99160	53415	52100	149020	260409	239400	224585	213395	211838	208076	204916	81354	116718	73745	106023	148322	108212	67677	51963	3545790	212151	222346	229950	136716	95118	49240	48432	135938	240952	224186	219056	209752	213146	214302	222592	89972	131135	85291	121138	166001	121595	77798	78983
2019	AR	2999370	1471760	96986	100270	101442	61421	41658	23070	21553	59319	100466	95098	92836	89930	89791	93367	94658	36335	51933	31556	45109	58729	42066	24801	19366	1527610	92650	96604	96362	58533	39493	20986	20550	56834	101534	94719	95001	90690	92242	96411	100562	40560	56728	35669	49920	69390	49857	35058	37257
2019	CA	39283497	19526298	1254607	1257974	1318355	779960	529837	295438	285103	839739	1591508	1484698	1359631	1262846	1279131	1261859	1209041	463834	614865	371074	487802	617578	420939	278686	261793	19757199	1196921	1210252	1257108	746969	508404	264323	265098	801866	1486984	1404674	1321745	1261665	1284503	1275929	1264187	490110	668292	409644	556798	729375	518080	382536	451736
2019	CO	5610349	2823201	170300	180524	185281	108925	76031	38961	38944	119820	229326	225509	205640	187064	184400	175678	179037	69192	94840	58391	76337	94181	58616	35363	30841	2787148	163732	172738	175663	103842	69757	35463	34961	109828	209736	206929	195787	175692	177373	176069	185125	73671	100805	61882	82036	105518	69081	47666	53794
2019	CT	3575074	1744245	94516	100677	113237	71984	52666	25439	25480	75282	113876	110366	103719	104301	117313	129088	128121	49589	67558	37806	51550	66940	45353	28713	30671	1830829	89292	97323	108088	68716	50883	25549	23831	69016	107227	110273	106939	109780	124830	137197	136683	53746	71436	41696	58640	79790	56882	43939	59073
2019	DE	957248	462890	27732	27087	30472	17785	12405	6316	6371	17411	33367	30570	28083	25779	28420	31229	32502	12291	17394	11414	15530	21051	14556	8097	7028	494358	27098	26687	29734	17089	12615	7365	5624	16137	33050	30631	28704	28032	30680	33925	35264	13674	21551	13413	18294	24484	17768	11140	11399
2019	DC	692683	328644	22874	17846	13997	7905	9643	5454	5185	13565	38104	37811	29531	20961	19316	18929	18428	6307	8526	5126	6780	9005	6075	3550	3726	364039	22166	16415	14948	7779	12113	5834	5523	17320	44689	41268	29655	22154	19166	18712	18311	7434	11144	6493	9081	11669	8720	5993	7452
2019	FL	20901636	10220813	577348	576826	612687	369763	248570	137718	131506	381473	711093	665891	635575	617319	656770	689307	681973	264002	366371	240228	345946	488271	374097	238778	209301	10680823	550866	555437	585198	354337	233376	132905	126974	360907	685703	654166	644120	628269	675827	720130	749165	291389	423247	278339	401994	566616	424863	301637	335358
