YEAR	STUSAB	LOGRECNO	SUMLEVEL	COMPONENT	STATE	COUNTY	PLACEFIPS	TRACT	BLKGRP	CBSA	ZCTA5	Total:	Male:	Under 5 years	5 to 9 years	10 to 14 years	15 to 17 years	18 and 19 years	20 years	21 years	22 to 24 years	25 to 29 years	30 to 34 years	35 to 39 years	40 to 44 years	45 to 49 years	50 to 54 years	55 to 59 years	60 and 61 years	62 to 64 years	65 and 66 years	67 to 69 years	70 to 74 years	75 to 79 years	80 to 84 years	85 years and over	Female:	Under 5 years.1	5 to 9 years.1	10 to 14 years.1	15 to 17 years.1	18 and 19 years.1	20 years.1	21 years.1	22 to 24 years.1	25 to 29 years.1	30 to 34 years.1	35 to 39 years.1	40 to 44 years.1	45 to 49 years.1	50 to 54 years.1	55 to 59 years.1	60 and 61 years.1	62 to 64 years.1	65 and 66 years.1	67 to 69 years.1	70 to 74 years.1	75 to 79 years.1	80 to 84 years.1	85 years and over.1
2018	al	1	40	00	1	NA	NA	NA	NA	NA	NA	4864680	2355799	149151	154426	158729	98202	65598	36376	35261	97598	162663	148737	144144	147214	150559	160452	160682	60037	85569	51870	70217	91817	61026	38279	27192	2508881	142974	147748	153364	94199	65915	35484	34087	95610	165559	155701	153698	154326	159748	170310	173329	68825	94573	60161	80851	108141	80154	57880	56244
2018	ak	1	40	00	2	NA	NA	NA	NA	NA	NA	738516	385579	27605	26511	26200	15376	9785	6014	6587	20020	32871	29750	26104	22094	23403	25326	25948	9884	13164	7903	9285	10386	5747	3282	2334	352937	26635	26117	23521	14173	8117	4456	4790	14882	28979	26919	23444	21037	21471	23144	24956	9574	11231	6552	9155	10085	5694	4092	3913
2018	az	1	40	00	4	NA	NA	NA	NA	NA	NA	6946685	3453439	222981	230966	237590	141556	97291	53619	52584	148625	253812	235745	218187	213557	209738	209304	202117	78444	113409	73286	102747	140586	102589	64662	50044	3493246	213121	221866	229677	136026	93324	49596	48052	135879	234547	221707	215619	207857	210350	215871	218373	87314	129661	83283	116285	158048	114385	73900	78505
2018	ar	1	40	00	5	NA	NA	NA	NA	NA	NA	2990671	1468412	97632	100727	101296	61628	41456	23681	21953	59003	99732	94689	92867	90446	89915	95671	94127	35723	51462	31690	44633	56516	39873	24481	19211	1522259	92679	97057	96499	58425	39559	21003	20268	58498	100506	94492	95262	90009	92179	98715	101233	39087	55656	34795	49787	66603	48538	34362	37047
2018	ca	1	40	00	6	NA	NA	NA	NA	NA	NA	39148760	19453769	1268862	1274390	1307143	785629	534964	300238	291051	861027	1571925	1467111	1335677	1271347	1287549	1280116	1203213	452961	602955	362895	472769	589271	405391	273776	253509	19694991	1211817	1224929	1249526	751359	511626	272441	270702	814171	1470739	1394237	1309353	1268788	1290222	1297966	1262708	483344	653217	402402	540203	693891	499498	373791	448061
2018	co	1	40	00	8	NA	NA	NA	NA	NA	NA	5531141	2780831	171155	182468	183742	107404	75396	38768	39582	119777	221913	219400	199031	185937	181419	178165	178485	67167	93106	56955	73215	87863	56335	33978	29570	2750310	164044	172931	175592	102483	69347	34859	35734	109267	204719	203125	191163	173146	175971	179799	184516	72993	97899	60055	78215	99528	65456	45975	53493
2018	ct	1	40	00	9	NA	NA	NA	NA	NA	NA	3581504	1747131	94768	101921	115164	73109	53233	25649	25684	75761	113032	109545	103316	105773	120774	132434	129374	48708	64859	37397	50620	64036	43544	28605	29825	1834373	90215	99085	108971	69392	51448	25902	24184	68310	106947	110324	107236	110698	128414	140516	136796	52427	69955	41013	57061	77287	55333	43497	59362
2018	de	1	40	00	10	NA	NA	NA	NA	NA	NA	949495	459570	27813	27532	30043	17767	12533	6729	6234	18042	33137	30102	27662	25972	28892	31832	31908	12523	16403	11587	14791	19562	13733	7817	6956	489925	27041	27634	28633	16963	12535	6891	6062	17064	32966	30153	28834	27770	31116	34613	36267	12946	19754	13216	17727	22783	16928	10547	11482
2018	dc	1	40	00	11	NA	NA	NA	NA	NA	NA	684498	324881	22724	17266	13562	7924	9721	5493	5610	13801	37850	36999	28413	20714	19244	19208	17978	6526	8470	4706	6276	9434	5706	3549	3707	359617	21968	16462	14001	7830	11942	6127	5333	17753	44563	40304	29082	20967	19030	18978	18475	7425	11043	6290	8827	11387	8783	5798	7249
2018	fl	1	40	00	12	NA	NA	NA	NA	NA	NA	20598139	10071925	570515	579011	599823	369269	248252	139126	132153	385932	699552	650704	617492	618774	653838	695182	666945	258102	355805	234111	339287	468884	353420	231596	204152	10526214	546905	552728	577156	353145	230440	132337	128463	366157	674394	641298	629548	627945	672627	727190	732485	286049	414421	273603	388966	542743	403820	292005	331789
2018	ga	1	40	00	13	NA	NA	NA	NA	NA	NA	10297484	5012229	335188	357301	363608	218482	148729	80033	74218	213036	362366	338616	334236	330002	343056	340861	314971	118196	152215	92412	129611	159804	101876	59748	43664	5285255	320622	339831	354535	211728	142267	72963	70935	207461	365322	353480	356064	352249	361891	361447	341093	129881	178312	108999	150647	193751	132646	89416	89715
2018	hi	1	40	00	15	NA	NA	NA	NA	NA	NA	1422029	713772	46487	43770	42966	24119	15904	10783	10900	32176	55520	51456	45573	44904	43746	44538	45570	18777	25405	17589	22865	26963	18110	12013	13638	708257	43901	41344	40701	23213	14438	7442	8410	27108	49267	48892	45560	41907	43226	45115	47219	18834	26903	18366	23878	29417	20523	17498	25095
2018	id	1	40	00	16	NA	NA	NA	NA	NA	NA	1687809	845564	57945	63203	64606	38489	23499	12376	11366	35578	56883	54666	55210	50499	49737	50218	50707	21045	29642	18846	25230	30975	21128	13172	10544	842245	56219	60162	62390	36162	22483	11899	10927	31239	54597	54060	53223	50272	48399	50705	54800	20943	29859	19562	25567	33420	22757	15359	17241
